sta_station_no,sta_year,sta_month,sta_dd,sta_hh,Count(sta_station_no)
31,2017,8,25,5,1
31,2017,8,25,6,0
31,2017,8,25,7,0
31,2017,8,25,8,0
31,2017,8,25,9,0
31,2017,8,25,10,0
31,2017,8,25,11,1
31,2017,8,25,12,0
31,2017,8,25,13,0
31,2017,8,25,14,0
31,2017,8,25,15,0
31,2017,8,25,16,0
31,2017,8,25,17,0
31,2017,8,25,18,7
31,2017,8,25,19,6
31,2017,8,25,20,3
31,2017,8,25,21,9
31,2017,8,25,22,2
31,2017,8,25,23,6
31,2017,8,28,5,0
31,2017,8,28,6,0
31,2017,8,28,7,0
31,2017,8,28,8,1
31,2017,8,28,9,2
31,2017,8,28,10,1
31,2017,8,28,11,1
31,2017,8,28,12,1
31,2017,8,28,13,2
31,2017,8,28,14,1
31,2017,8,28,15,0
31,2017,8,28,16,1
31,2017,8,28,17,0
31,2017,8,28,18,1
31,2017,8,28,19,4
31,2017,8,28,20,2
31,2017,8,28,21,0
31,2017,8,28,22,0
31,2017,8,28,23,2
31,2017,8,29,5,0
31,2017,8,29,6,0
31,2017,8,29,7,0
31,2017,8,29,8,1
31,2017,8,29,9,1
31,2017,8,29,10,1
31,2017,8,29,11,0
31,2017,8,29,12,4
31,2017,8,29,13,2
31,2017,8,29,14,1
31,2017,8,29,15,2
31,2017,8,29,16,2
31,2017,8,29,17,2
31,2017,8,29,18,6
31,2017,8,29,19,7
31,2017,8,29,20,7
31,2017,8,29,21,9
31,2017,8,29,22,10
31,2017,8,29,23,4
31,2017,8,30,5,1
31,2017,8,30,6,3
31,2017,8,30,7,0
31,2017,8,30,8,3
31,2017,8,30,9,3
31,2017,8,30,10,1
31,2017,8,30,11,0
31,2017,8,30,12,1
31,2017,8,30,13,2
31,2017,8,30,14,2
31,2017,8,30,15,2
31,2017,8,30,16,0
31,2017,8,30,17,2
31,2017,8,30,18,8
31,2017,8,30,19,8
31,2017,8,30,20,8
31,2017,8,30,21,6
31,2017,8,30,22,3
31,2017,8,30,23,4
31,2017,8,31,5,0
31,2017,8,31,6,0
31,2017,8,31,7,0
31,2017,8,31,8,0
31,2017,8,31,9,2
31,2017,8,31,10,3
31,2017,8,31,11,1
31,2017,8,31,12,0
31,2017,8,31,13,0
31,2017,8,31,14,3
31,2017,8,31,15,1
31,2017,8,31,16,1
31,2017,8,31,17,7
31,2017,8,31,18,5
31,2017,8,31,19,4
31,2017,8,31,20,17
31,2017,8,31,21,4
31,2017,8,31,22,4
31,2017,8,31,23,3
31,2017,9,1,5,0
31,2017,9,1,6,1
31,2017,9,1,7,2
31,2017,9,1,8,3
31,2017,9,1,9,0
31,2017,9,1,10,1
31,2017,9,1,11,1
31,2017,9,1,12,3
31,2017,9,1,13,1
31,2017,9,1,14,1
31,2017,9,1,15,3
31,2017,9,1,16,3
31,2017,9,1,17,3
31,2017,9,1,18,6
31,2017,9,1,19,5
31,2017,9,1,20,6
31,2017,9,1,21,0
31,2017,9,1,22,0
31,2017,9,1,23,3
31,2017,9,4,5,0
31,2017,9,4,6,0
31,2017,9,4,7,0
31,2017,9,4,8,0
31,2017,9,4,9,3
31,2017,9,4,10,2
31,2017,9,4,11,0
31,2017,9,4,12,1
31,2017,9,4,13,3
31,2017,9,4,14,2
31,2017,9,4,15,1
31,2017,9,4,16,1
31,2017,9,4,17,4
31,2017,9,4,18,4
31,2017,9,4,19,6
31,2017,9,4,20,8
31,2017,9,4,21,6
31,2017,9,4,22,2
31,2017,9,4,23,5
31,2017,9,5,5,0
31,2017,9,5,6,0
31,2017,9,5,7,0
31,2017,9,5,8,1
31,2017,9,5,9,0
31,2017,9,5,10,0
31,2017,9,5,11,0
31,2017,9,5,12,0
31,2017,9,5,13,0
31,2017,9,5,14,1
31,2017,9,5,15,0
31,2017,9,5,16,2
31,2017,9,5,17,2
31,2017,9,5,18,4
31,2017,9,5,19,3
31,2017,9,5,20,2
31,2017,9,5,21,2
31,2017,9,5,22,4
31,2017,9,5,23,0
31,2017,9,6,5,1
31,2017,9,6,6,0
31,2017,9,6,7,0
31,2017,9,6,8,1
31,2017,9,6,9,0
31,2017,9,6,10,1
31,2017,9,6,11,0
31,2017,9,6,12,0
31,2017,9,6,13,0
31,2017,9,6,14,2
31,2017,9,6,15,0
31,2017,9,6,16,2
31,2017,9,6,17,1
31,2017,9,6,18,3
31,2017,9,6,19,3
31,2017,9,6,20,4
31,2017,9,6,21,0
31,2017,9,6,22,0
31,2017,9,6,23,0
31,2017,9,7,5,0
31,2017,9,7,6,0
31,2017,9,7,7,0
31,2017,9,7,8,1
31,2017,9,7,9,2
31,2017,9,7,10,0
31,2017,9,7,11,0
31,2017,9,7,12,3
31,2017,9,7,13,1
31,2017,9,7,14,0
31,2017,9,7,15,1
31,2017,9,7,16,3
31,2017,9,7,17,5
31,2017,9,7,18,6
31,2017,9,7,19,1
31,2017,9,7,20,7
31,2017,9,7,21,3
31,2017,9,7,22,4
31,2017,9,7,23,1
31,2017,9,8,5,0
31,2017,9,8,6,0
31,2017,9,8,7,1
31,2017,9,8,8,0
31,2017,9,8,9,3
31,2017,9,8,10,1
31,2017,9,8,11,0
31,2017,9,8,12,0
31,2017,9,8,13,1
31,2017,9,8,14,1
31,2017,9,8,15,0
31,2017,9,8,16,0
31,2017,9,8,17,3
31,2017,9,8,18,7
31,2017,9,8,19,6
31,2017,9,8,20,1
31,2017,9,8,21,2
31,2017,9,8,22,1
31,2017,9,8,23,8
31,2017,9,11,5,0
31,2017,9,11,6,0
31,2017,9,11,7,0
31,2017,9,11,8,0
31,2017,9,11,9,0
31,2017,9,11,10,0
31,2017,9,11,11,0
31,2017,9,11,12,1
31,2017,9,11,13,0
31,2017,9,11,14,0
31,2017,9,11,15,1
31,2017,9,11,16,1
31,2017,9,11,17,2
31,2017,9,11,18,8
31,2017,9,11,19,2
31,2017,9,11,20,5
31,2017,9,11,21,2
31,2017,9,11,22,4
31,2017,9,11,23,3
31,2017,9,12,5,0
31,2017,9,12,6,1
31,2017,9,12,7,1
31,2017,9,12,8,0
31,2017,9,12,9,1
31,2017,9,12,10,2
31,2017,9,12,11,1
31,2017,9,12,12,0
31,2017,9,12,13,2
31,2017,9,12,14,2
31,2017,9,12,15,3
31,2017,9,12,16,4
31,2017,9,12,17,7
31,2017,9,12,18,9
31,2017,9,12,19,4
31,2017,9,12,20,4
31,2017,9,12,21,1
31,2017,9,12,22,2
31,2017,9,12,23,7
31,2017,9,13,5,0
31,2017,9,13,6,0
31,2017,9,13,7,2
31,2017,9,13,8,2
31,2017,9,13,9,3
31,2017,9,13,10,1
31,2017,9,13,11,1
31,2017,9,13,12,2
31,2017,9,13,13,6
31,2017,9,13,14,1
31,2017,9,13,15,0
31,2017,9,13,16,1
31,2017,9,13,17,2
31,2017,9,13,18,5
31,2017,9,13,19,7
31,2017,9,13,20,6
31,2017,9,13,21,2
31,2017,9,13,22,2
31,2017,9,13,23,2
31,2017,9,14,5,0
31,2017,9,14,6,0
31,2017,9,14,7,0
31,2017,9,14,8,0
31,2017,9,14,9,1
31,2017,9,14,10,0
31,2017,9,14,11,1
31,2017,9,14,12,1
31,2017,9,14,13,2
31,2017,9,14,14,1
31,2017,9,14,15,1
31,2017,9,14,16,3
31,2017,9,14,17,8
31,2017,9,14,18,6
31,2017,9,14,19,6
31,2017,9,14,20,2
31,2017,9,14,21,2
31,2017,9,14,22,8
31,2017,9,14,23,0
31,2017,9,15,5,0
31,2017,9,15,6,0
31,2017,9,15,7,0
31,2017,9,15,8,1
31,2017,9,15,9,0
31,2017,9,15,10,2
31,2017,9,15,11,2
31,2017,9,15,12,1
31,2017,9,15,13,2
31,2017,9,15,14,0
31,2017,9,15,15,0
31,2017,9,15,16,9
31,2017,9,15,17,5
31,2017,9,15,18,5
31,2017,9,15,19,6
31,2017,9,15,20,5
31,2017,9,15,21,7
31,2017,9,15,22,5
31,2017,9,15,23,0
31,2017,9,18,5,0
31,2017,9,18,6,0
31,2017,9,18,7,1
31,2017,9,18,8,0
31,2017,9,18,9,1
31,2017,9,18,10,3
31,2017,9,18,11,0
31,2017,9,18,12,1
31,2017,9,18,13,3
31,2017,9,18,14,1
31,2017,9,18,15,1
31,2017,9,18,16,5
31,2017,9,18,17,1
31,2017,9,18,18,5
31,2017,9,18,19,5
31,2017,9,18,20,8
31,2017,9,18,21,4
31,2017,9,18,22,1
31,2017,9,18,23,5
31,2017,9,19,5,0
31,2017,9,19,6,0
31,2017,9,19,7,1
31,2017,9,19,8,3
31,2017,9,19,9,4
31,2017,9,19,10,3
31,2017,9,19,11,3
31,2017,9,19,12,0
31,2017,9,19,13,0
31,2017,9,19,14,0
31,2017,9,19,15,0
31,2017,9,19,16,0
31,2017,9,19,17,1
31,2017,9,19,18,4
31,2017,9,19,19,1
31,2017,9,19,20,1
31,2017,9,19,21,2
31,2017,9,19,22,5
31,2017,9,19,23,2
31,2017,9,20,5,0
31,2017,9,20,6,0
31,2017,9,20,7,0
31,2017,9,20,8,3
31,2017,9,20,9,1
31,2017,9,20,10,1
31,2017,9,20,11,1
31,2017,9,20,12,0
31,2017,9,20,13,2
31,2017,9,20,14,1
31,2017,9,20,15,1
31,2017,9,20,16,4
31,2017,9,20,17,3
31,2017,9,20,18,5
31,2017,9,20,19,1
31,2017,9,20,20,9
31,2017,9,20,21,7
31,2017,9,20,22,3
31,2017,9,20,23,5
31,2017,9,21,5,0
31,2017,9,21,6,0
31,2017,9,21,7,1
31,2017,9,21,8,2
31,2017,9,21,9,6
31,2017,9,21,10,0
31,2017,9,21,11,2
31,2017,9,21,12,5
31,2017,9,21,13,2
31,2017,9,21,14,4
31,2017,9,21,15,2
31,2017,9,21,16,0
31,2017,9,21,17,8
31,2017,9,21,18,2
31,2017,9,21,19,7
31,2017,9,21,20,8
31,2017,9,21,21,6
31,2017,9,21,22,2
31,2017,9,21,23,1
31,2017,9,22,5,0
31,2017,9,22,6,0
31,2017,9,22,7,0
31,2017,9,22,8,0
31,2017,9,22,9,2
31,2017,9,22,10,2
31,2017,9,22,11,1
31,2017,9,22,12,1
31,2017,9,22,13,1
31,2017,9,22,14,4
31,2017,9,22,15,1
31,2017,9,22,16,1
31,2017,9,22,17,4
31,2017,9,22,18,4
31,2017,9,22,19,2
31,2017,9,22,20,5
31,2017,9,22,21,3
31,2017,9,22,22,2
31,2017,9,22,23,1
